invoice_id,customer_id,customer_name,segment,issue_date,terms,due_date,amount,paid_date,days_late
SO-202409-00001,CUST-001,Copper Fork Group,Restaurant Group,2024-09-27,Net 45,2024-11-11,100349.47,2024-11-19,8
SO-202409-00002,CUST-002,Harborline Hospitality,Hotel & Hospitality,2024-09-29,Net 30,2024-10-29,74509.18,2024-11-06,8
SO-202409-00003,CUST-003,Vaughn & Sons Restaurant Co,Restaurant Group,2024-09-06,Net 45,2024-10-21,66459.96,2024-10-26,5
SO-202409-00004,CUST-004,Meridian Public Schools,Institutional,2024-09-08,Net 60,2024-11-07,64977.11,2024-11-24,17
SO-202409-00005,CUST-005,Bright Harbor Hotels,Hotel & Hospitality,2024-09-18,Net 30,2024-10-18,62435.0,2024-10-18,0
SO-202409-00006,CUST-006,Ridgeline Kitchens Group,Restaurant Group,2024-09-22,Net 30,2024-10-22,49971.13,2024-11-03,12
SO-202409-00007,CUST-007,Ashgrove Dining Partners,Restaurant Group,2024-09-12,Net 45,2024-10-27,36268.39,2024-11-03,7
SO-202409-00008,CUST-008,Northfield Medical Center,Institutional,2024-09-18,Net 60,2024-11-17,32809.35,2024-11-24,7
SO-202409-00009,CUST-009,Stonecrest Resale Supply,Distributor Resale,2024-09-09,Net 30,2024-10-09,35043.12,2024-10-21,12
SO-202409-00010,CUST-010,Lakeside Catering Co,Independent Restaurant,2024-09-02,Net 30,2024-10-02,40420.49,2024-10-08,6
SO-202409-00011,CUST-011,Sutton Kitchen,Institutional,2024-09-11,Net 45,2024-10-26,19117.72,2024-11-04,9
SO-202409-00012,CUST-012,Pendry Bistro,Institutional,2024-09-20,Net 45,2024-11-04,32128.81,2024-11-09,5
SO-202409-00013,CUST-013,Brackley Public House,Restaurant Group,2024-09-08,Net 15,2024-09-23,55166.34,2024-10-02,9
SO-202409-00014,CUST-014,Sutton Dining Co,Hotel & Hospitality,2024-09-26,Net 30,2024-10-26,24568.85,2024-11-03,8
SO-202409-00015,CUST-015,Pelham Dining Co,Restaurant Group,2024-09-20,Net 15,2024-10-05,44574.74,2024-10-05,0
SO-202409-00016,CUST-016,Marbury Food Hall,Restaurant Group,2024-09-25,Net 30,2024-10-25,23408.26,2024-11-01,7
SO-202409-00017,CUST-017,Weldon Kitchen,Distributor Resale,2024-09-28,Net 30,2024-10-28,27931.74,2024-10-30,2
SO-202409-00018,CUST-018,Pine Kitchen,Independent Restaurant,2024-09-15,Net 30,2024-10-15,39437.92,2024-10-23,8
SO-202409-00019,CUST-019,Birch Provisions,Independent Restaurant,2024-09-09,Net 30,2024-10-09,44738.8,2024-10-13,4
SO-202409-00020,CUST-020,Rushmoor Provisions,Independent Restaurant,2024-09-25,Net 30,2024-10-25,25581.53,2024-11-02,8
SO-202409-00021,CUST-021,Quarry Provisions,Independent Restaurant,2024-09-15,Net 15,2024-09-30,31059.78,2024-09-29,-1
SO-202409-00022,CUST-022,Ockham Provisions,Distributor Resale,2024-09-02,Net 45,2024-10-17,15184.9,2024-10-23,6
SO-202409-00023,CUST-023,Ashford Grill,Independent Restaurant,2024-09-14,Net 30,2024-10-14,31396.06,2024-10-19,5
SO-202409-00024,CUST-024,Hollow Kitchen,Independent Restaurant,2024-09-03,Net 30,2024-10-03,18388.66,2024-09-29,-4
SO-202409-00025,CUST-025,Pendry Food Hall,Restaurant Group,2024-09-09,Net 15,2024-09-24,27390.54,2024-09-28,4
SO-202409-00026,CUST-026,Old Tavern,Institutional,2024-09-29,Net 30,2024-10-29,24574.69,2024-11-11,13
SO-202409-00027,CUST-027,Wexley Dining Co,Hotel & Hospitality,2024-09-30,Net 30,2024-10-30,29360.93,2024-10-28,-2
SO-202409-00028,CUST-028,Gilman Food Hall,Independent Restaurant,2024-09-03,Net 45,2024-10-18,32201.03,2024-10-20,2
SO-202409-00029,CUST-029,Pine Bistro,Hotel & Hospitality,2024-09-20,Net 45,2024-11-04,31773.34,2024-11-04,0
SO-202409-00030,CUST-030,Norwood Food Hall,Independent Restaurant,2024-09-12,Net 15,2024-09-27,26587.58,2024-09-25,-2
SO-202409-00031,CUST-031,Sutton Eatery,Independent Restaurant,2024-09-10,Net 30,2024-10-10,22971.15,2024-10-11,1
SO-202409-00032,CUST-032,Ashford Dining Co,Institutional,2024-09-11,Net 30,2024-10-11,35243.58,2024-10-26,15
SO-202409-00033,CUST-033,Norwood Tavern,Independent Restaurant,2024-09-15,Net 15,2024-09-30,32709.79,2024-10-05,5
SO-202409-00034,CUST-034,Ravensworth Eatery,Independent Restaurant,2024-09-30,Net 15,2024-10-15,53456.12,2024-10-25,10
SO-202409-00035,CUST-035,Hollow Tavern,Independent Restaurant,2024-09-19,Net 45,2024-11-03,30585.4,2024-11-07,4
SO-202409-00036,CUST-036,Tarleton Food Hall,Independent Restaurant,2024-09-24,Net 30,2024-10-24,22402.07,2024-10-22,-2
SO-202409-00037,CUST-037,Tarleton Grill,Institutional,2024-09-03,Net 45,2024-10-18,44819.76,2024-10-24,6
SO-202409-00038,CUST-038,Old Tavern,Independent Restaurant,2024-09-19,Net 15,2024-10-04,17986.66,2024-10-17,13
SO-202409-00039,CUST-039,Hartwell Kitchen,Institutional,2024-09-22,Net 15,2024-10-07,28807.3,2024-10-15,8
SO-202409-00040,CUST-040,Marlow Hospitality Group,Restaurant Group,2024-09-25,Net 30,2024-10-25,21624.27,2024-11-05,11
SO-202409-00041,CUST-041,Quarry Dining Co,Distributor Resale,2024-09-02,Net 15,2024-09-17,29147.71,2024-09-16,-1
SO-202409-00042,CUST-042,Tarleton Grill,Independent Restaurant,2024-09-23,Net 15,2024-10-08,25370.72,2024-10-11,3
SO-202409-00043,CUST-043,Quarry Provisions,Independent Restaurant,2024-09-07,Net 30,2024-10-07,40922.7,2024-10-10,3
SO-202409-00044,CUST-044,Fairhaven Provisions,Distributor Resale,2024-09-09,Net 15,2024-09-24,29110.33,2024-09-27,3
SO-202409-00045,CUST-045,Weldon Grill,Hotel & Hospitality,2024-09-18,Net 30,2024-10-18,34706.47,2024-10-26,8
SO-202409-00046,CUST-046,Fairhaven Bistro,Institutional,2024-09-24,Net 30,2024-10-24,23353.89,2024-11-11,18
SO-202409-00047,CUST-023,Ashford Grill,Independent Restaurant,2024-09-02,Net 30,2024-10-02,23876.05,2024-10-03,1
SO-202409-00048,CUST-035,Hollow Tavern,Independent Restaurant,2024-09-12,Net 45,2024-10-27,22783.68,2024-10-29,2
SO-202409-00049,CUST-022,Ockham Provisions,Distributor Resale,2024-09-28,Net 45,2024-11-12,26670.68,2024-11-20,8
SO-202409-00050,CUST-020,Rushmoor Provisions,Independent Restaurant,2024-09-19,Net 30,2024-10-19,30869.32,2024-10-27,8
SO-202409-00051,CUST-042,Tarleton Grill,Independent Restaurant,2024-09-13,Net 15,2024-09-28,32118.87,2024-09-27,-1
SO-202409-00052,CUST-029,Pine Bistro,Hotel & Hospitality,2024-09-10,Net 45,2024-10-25,21930.82,2024-10-29,4
SO-202409-00053,CUST-036,Tarleton Food Hall,Independent Restaurant,2024-09-16,Net 30,2024-10-16,37752.57,2024-10-18,2
