period,gl_account,gl_account_name,statement_section,amount,signed_amount
2024-09,4000,Product Revenue,Revenue,2226654.5,2226654.5
2024-09,4200,Service & Installation Revenue,Revenue,80056.07,80056.07
2024-09,4900,Returns & Allowances,Revenue,-20424.0,-20424.0
2024-09,5000,Product COGS,COGS,1554536.59,-1554536.59
2024-09,5200,Warehouse Labor,COGS,70009.83,-70009.83
2024-09,6000,Salaries & Wages,Opex,159328.23,-159328.23
2024-09,6010,Payroll Taxes & Benefits,Opex,43926.4,-43926.4
2024-09,6100,Rent & Occupancy,Opex,42500.0,-42500.0
2024-09,6200,Software & Subscriptions,Opex,15682.36,-15682.36
2024-09,6300,Marketing & Advertising,Opex,57984.27,-57984.27
2024-09,6400,Professional Fees,Opex,9753.54,-9753.54
2024-09,6500,Outbound Freight,Opex,117161.13,-117161.13
2024-09,6600,Insurance,Opex,11200.0,-11200.0
2024-09,6700,Utilities,Opex,8675.77,-8675.77
2024-09,6800,Travel & Entertainment,Opex,16027.24,-16027.24
2024-09,6900,Other Operating Expense,Opex,5461.04,-5461.04
2024-10,4000,Product Revenue,Revenue,1988938.92,1988938.92
2024-10,4200,Service & Installation Revenue,Revenue,73156.89,73156.89
2024-10,4900,Returns & Allowances,Revenue,-17457.67,-17457.67
2024-10,5000,Product COGS,COGS,1379518.72,-1379518.72
2024-10,5200,Warehouse Labor,COGS,56115.89,-56115.89
2024-10,6000,Salaries & Wages,Opex,156616.71,-156616.71
2024-10,6010,Payroll Taxes & Benefits,Opex,41944.65,-41944.65
2024-10,6100,Rent & Occupancy,Opex,42500.0,-42500.0
2024-10,6200,Software & Subscriptions,Opex,16225.03,-16225.03
2024-10,6300,Marketing & Advertising,Opex,40174.49,-40174.49
2024-10,6400,Professional Fees,Opex,12758.55,-12758.55
2024-10,6500,Outbound Freight,Opex,111410.45,-111410.45
2024-10,6600,Insurance,Opex,11200.0,-11200.0
2024-10,6700,Utilities,Opex,9015.93,-9015.93
2024-10,6800,Travel & Entertainment,Opex,12772.61,-12772.61
2024-10,6900,Other Operating Expense,Opex,6161.71,-6161.71
2024-11,4000,Product Revenue,Revenue,2235466.47,2235466.47
2024-11,4200,Service & Installation Revenue,Revenue,70591.75,70591.75
2024-11,4900,Returns & Allowances,Revenue,-22662.96,-22662.96
2024-11,5000,Product COGS,COGS,1540973.25,-1540973.25
2024-11,5200,Warehouse Labor,COGS,72838.78,-72838.78
2024-11,6000,Salaries & Wages,Opex,159176.81,-159176.81
2024-11,6010,Payroll Taxes & Benefits,Opex,44037.62,-44037.62
2024-11,6100,Rent & Occupancy,Opex,42500.0,-42500.0
2024-11,6200,Software & Subscriptions,Opex,16159.55,-16159.55
2024-11,6300,Marketing & Advertising,Opex,56670.33,-56670.33
2024-11,6400,Professional Fees,Opex,11245.08,-11245.08
2024-11,6500,Outbound Freight,Opex,128632.88,-128632.88
2024-11,6600,Insurance,Opex,11200.0,-11200.0
2024-11,6700,Utilities,Opex,6484.44,-6484.44
