sku,product_name,category,list_price
SKU-1001,Reach-In Refrigerator,Refrigeration,5311.68
SKU-1002,Undercounter Freezer,Refrigeration,3091.39
SKU-1003,Walk-In Cooler Panel,Refrigeration,6220.46
SKU-1004,Blast Chiller,Refrigeration,4792.18
SKU-1005,Prep Table Refrigerator,Refrigeration,7482.32
SKU-1006,Merchandiser Cooler,Refrigeration,1937.08
SKU-1007,Ice Machine,Refrigeration,6336.11
SKU-1008,Back Bar Cooler,Refrigeration,2796.45
SKU-1009,Six-Burner Range,Cooking Equipment,2569.41
SKU-1010,Convection Oven,Cooking Equipment,6060.31
SKU-1011,Countertop Griddle,Cooking Equipment,1611.14
SKU-1012,Deep Fryer,Cooking Equipment,4057.83
SKU-1013,Salamander Broiler,Cooking Equipment,1117.42
SKU-1014,Combi Oven,Cooking Equipment,932.93
SKU-1015,Induction Range,Cooking Equipment,5977.34
SKU-1016,Conveyor Toaster,Cooking Equipment,2120.94
SKU-1017,Espresso Machine,Beverage Equipment,2531.15
SKU-1018,Bulk Coffee Brewer,Beverage Equipment,910.56
SKU-1019,Soda Fountain Tower,Beverage Equipment,3467.69
SKU-1020,Juice Dispenser,Beverage Equipment,2388.33
SKU-1021,Water Filtration Unit,Beverage Equipment,3021.07
SKU-1022,Draft Beer Cooler,Beverage Equipment,3286.85
SKU-1023,Sauce Pan,Smallwares,107.53
SKU-1024,Sheet Pan,Smallwares,24.75
SKU-1025,Chef Knife,Smallwares,76.09
SKU-1026,Mixing Bowl Set,Smallwares,115.51
SKU-1027,Tongs,Smallwares,133.16
SKU-1028,Hotel Pan,Smallwares,122.45
SKU-1029,Cutting Board,Smallwares,29.24
SKU-1030,Whisk,Smallwares,109.16
SKU-1031,Ladle,Smallwares,105.28
SKU-1032,Storage Container,Smallwares,16.28
SKU-1033,Takeout Container,Disposables,44.17
SKU-1034,Napkin Case,Disposables,69.2
SKU-1035,Paper Cup Sleeve,Disposables,28.62
SKU-1036,Foil Roll,Disposables,30.15
SKU-1037,Glove Case,Disposables,56.65
SKU-1038,Deli Paper,Disposables,35.29
SKU-1039,Straw Case,Disposables,56.5
SKU-1040,Portion Cup,Disposables,53.52
SKU-1041,Degreaser Concentrate,Janitorial & Chemicals,31.84
SKU-1042,Sanitizer Tablets,Janitorial & Chemicals,61.36
SKU-1043,Floor Cleaner,Janitorial & Chemicals,176.88
SKU-1044,Dish Detergent,Janitorial & Chemicals,159.17
SKU-1045,Mop Head,Janitorial & Chemicals,175.53
SKU-1046,Trash Liner Case,Janitorial & Chemicals,153.7
