txn_id,date,period,doc_type,doc_id,gl_account,gl_account_name,statement_section,counterparty_id,counterparty_name,counterparty_type,segment,category,sku,description,quantity,unit_price,amount,signed_amount,memo
TXN-0000001,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Disposables,SKU-1034,Napkin Case,136,67.7093,9208.47,9208.47,
TXN-0000002,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1034,COGS - Napkin Case,136,44.0691,5993.4,-5993.4,
TXN-0000003,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Disposables,SKU-1039,Straw Case,136,55.7656,7584.12,7584.12,
TXN-0000004,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1039,COGS - Straw Case,136,36.2749,4933.38,-4933.38,
TXN-0000005,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Smallwares,SKU-1032,Storage Container,32,16.3895,524.46,524.46,
TXN-0000006,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-004,Halverson Smallwares,vendor,Restaurant Group,Smallwares,SKU-1032,COGS - Storage Container,32,9.574,306.37,-306.37,
TXN-0000007,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Refrigeration,SKU-1003,Walk-In Cooler Panel,4,6299.8778,25199.51,25199.51,
TXN-0000008,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-001,Northline Cold Systems,vendor,Restaurant Group,Refrigeration,SKU-1003,COGS - Walk-In Cooler Panel,4,4790.16,19160.64,-19160.64,
TXN-0000009,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Disposables,SKU-1038,Deli Paper,114,34.6177,3946.41,3946.41,
TXN-0000010,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1038,COGS - Deli Paper,114,22.5417,2569.76,-2569.76,
TXN-0000011,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Cooking Equipment,SKU-1015,Induction Range,3,6259.2534,18777.76,18777.76,
TXN-0000012,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-002,Kettleworks Manufacturing,vendor,Restaurant Group,Cooking Equipment,SKU-1015,COGS - Induction Range,3,4824.5803,14473.74,-14473.74,
TXN-0000013,2024-09-27,2024-09,INVOICE,SO-202409-00001,4000,Product Revenue,Revenue,CUST-001,Copper Fork Group,customer,Restaurant Group,Disposables,SKU-1040,Portion Cup,20,50.5626,1011.25,1011.25,
TXN-0000014,2024-09-27,2024-09,INVOICE,SO-202409-00001,5000,Product COGS,COGS,VEND-005,Pinepoint Paper & Pack,vendor,Restaurant Group,Disposables,SKU-1040,COGS - Portion Cup,20,33.5604,671.21,-671.21,
